user_id,raw_date,num_day,num_frn,num_frn_des,num_frn_n2,num_frn_n3,num_frn_n,max_freq_n2,max_freq_n3,num_n2,num_n3,num_tag,num_tag2,num_nick,frn_ok
karen7510,2009-04-04,1,19,17,0,0,0,0,0,0,0,3,3,3,1
jwu618,2009-04-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0
jiunda,2009-04-04,1,20,17,0,0,0,0,0,0,0,8,4,4,1
jessica80597,2009-04-04,1,4,4,2,0,2,2,0,1,0,3,3,3,1
jescar725,2009-04-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hunterex,2009-04-04,4,20,19,2,0,2,2,0,1,0,6,7,4,1
holst,2009-04-04,0,12,10,6,0,6,6,0,1,0,5,6,0,1
hic3,2009-04-04,4,70,57,4,0,4,4,0,2,0,21,12,7,1
goodmankuo,2009-04-04,1,7,5,0,0,0,0,0,0,0,0,0,2,1
glaysteve,2009-04-04,1,6,6,0,0,0,0,0,0,0,3,2,1,1
geniorrr,2009-04-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0
forever75,2009-04-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fcinzaghi,2009-04-04,1,20,18,13,0,13,13,0,1,0,5,11,4,1
farlove1338,2009-04-04,4,0,0,0,0,0,0,0,0,0,0,0,0,0
facepaper,2009-04-04,1,55,49,18,6,23,18,3,2,3,25,32,13,1
Effie1027,2009-04-04,0,68,63,45,0,45,33,0,4,0,36,24,8,1
edar520,2009-04-04,4,20,20,10,0,10,4,0,3,0,9,7,3,1
doo78228,2009-04-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0
d12345890,2009-04-04,2,20,19,14,1,15,8,1,2,1,4,4,3,1
cotulip,2009-04-04,3,20,20,9,0,9,5,0,2,0,5,5,8,1
comicholic,2009-04-04,1,20,15,6,0,6,6,0,1,0,4,2,4,1
clark1121,2009-04-04,4,13,12,7,0,7,7,0,1,0,4,2,1,1
chiouyun,2009-04-04,1,7,5,2,0,2,2,0,1,0,4,1,0,1
chibli,2009-04-04,4,11,10,0,0,0,0,0,0,0,7,1,1,1
chern,2009-04-04,4,5,5,0,0,0,0,0,0,0,3,0,0,1
c19870301,2009-04-04,1,20,16,7,3,8,4,2,2,2,4,4,5,1
bryway,2009-04-04,1,35,32,5,0,5,3,0,2,0,6,8,7,1
blueway0128,2009-04-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0
biolife1002,2009-04-04,1,20,20,7,0,7,7,0,1,0,11,9,3,1
bigmelon0727,2009-04-04,4,47,43,11,5,14,11,3,1,2,16,9,8,1
bboa82,2009-04-04,4,1,1,0,0,0,0,0,0,0,0,1,1,1
