user_id,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,mc1_1,mc1_2,mc1_3,mc1_4,mc1_5,mc1_6,mc1_7,mc1_8,mc1_9,mc2_1,mc2_2,mc2_3,mc2_4,mc2_5,mc2_6,mc2_7,mc2_8,mc2_9
dowpoubibibi,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
chiachiakuo,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
toroayu,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
aittting,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
joyjoey,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
queena123,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stom,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
axd829x,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fish523420,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
foreverpeng,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Erikayar,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
teena,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cutefish514,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lyt2410877,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
chichi050020,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
debyjeng,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
newwander,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
yally,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
crazygrass,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
takobite,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
csjieyu,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
magicboy61,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
greennicky,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
yosheming,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
isaacking333,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
elsa0116,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lightpink1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
myiska,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hokiokla,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
matt76318,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
smaljohn,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
maybook,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ducksteven,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mayrock,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
herman602,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mimigirln,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mars2903,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
oxfranklin,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dawnvoice,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
titanick,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mp607,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lightful,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ananyu,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
alice2,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
match000,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ritadeng2,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
suvivi,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bbyang,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
toma510,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ezoz42557,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vul3zp,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sandy30716,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
kenvy1014,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
worlda,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pedcheng,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
yoyocup,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bewritten,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wings9920,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lonely11987,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
helpers,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bluefool,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jelly9150,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mvpzax,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ccc7038,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
s00888,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hong07,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Kazami,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
teruvis2001,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
plustw,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cwt917661,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rd1424,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
kirry,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
candc,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tands900,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pinky586228,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lovehtkyann,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
joc,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jim19881218,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ml141291273,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a29593574,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tommyf22a,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
